etid,status
2117,1
394906,1
2219,1
2184,1
3182,0
2641,0
2129,1
2130,0
1898,1
1800,1
248526,1
2132,1
431936,1
2141,0
2143,0
2390,1
2144,1
68217,0
2149,1
2150,1
2151,1
2842,1
2152,1
2167,1
2313,0
2175,0
2176,1
2179,0
2181,1
2553,0
2104,0
2140,0
2110,0
2142,1
1894,1
2206,1
2791,0
422876,0
2056,1
1989,0
2208,1
2400,0
2162,1
2191,1
1991,1
2214,0
2220,1
2228,1
2236,1
2237,1
1696,1
2177,0
2170,1
51798,1
331676,1
2249,1
2250,0
2261,1
2273,1
2643,0
2567,1
2265,1
2266,1
371831,1
2241,1
2189,1
2278,0
2282,0
2291,1
2380,0
546,1
2298,0
170216,1
2425,0
153651,1
2743,1
2331,0
2500,0
2300,0
2648,0
2480,1
2280,0
2277,1
2155,1
2717,0
2455,0
73319,0
2492,1
48854,1
2650,0
3322,1
2602,1
2625,1
2463,0
2884,1
2631,0
3379,1
2542,1
136041,2
212201,2
2568,0
2325,1
2326,0
2330,1
3510,0
2727,1
2589,0
2342,1
218171,1
2353,0
2350,0
2355,1
2528,0
2358,0
2395,0
2385,0
2367,0
2565,0
2564,0
2370,1
5092,1
2372,1
2560,0
2394,1
2433,1
2494,1
2616,0
1114,1
2403,1
2405,1
2303,0
2412,0
2414,1
2415,1
2719,1
2426,1
2428,0
2044,1
2430,1
3035,1
71071,1
2612,0
2445,1
2531,0
2451,0
2632,0
2436,0
2361,1
2351,0
2338,0
2462,1
2464,1
2467,0
2468,1
2324,1
2713,1
3556,1
1770,1
2801,1
2788,0
2406,1
2479,1
2348,1
2442,1
2422,0
2377,0
2497,1
2251,0
2557,1
2667,0
2501,0
2504,0
2506,1
2769,1
2511,1
2192,1
2512,1
2513,0
2524,1
2526,1
2544,0
2538,0
2441,0
2454,1
37965,1
206161,1
2316,0
2074,1
2322,1
2148,1
2030,0
2543,1
2551,1
1606,1
3089,0
207446,0
207881,0
6605,1
2493,0
2352,0
2283,0
2288,0
2527,1
2571,0
2573,1
2577,1
2420,0
3460,1
2599,1
20453,1
2598,1
4448,1
3578,1
2600,0
2604,0
2977,1
3304,0
2613,1
2617,1
2618,1
2520,1
2541,0
22952,0
355641,0
2629,1
2635,1
2916,0
3027,0
3195,0
3949,1
2933,1
2955,1
2971,1
109591,0
4664,1
4801,2
3910,0
3298,1
2817,1
366066,0
245306,1
414641,1
437591,1
4324,0
4009,0
4013,1
2923,1
2644,1
2645,1
3170,0
3260,0
2662,1
2661,1
2728,1
3083,1
3179,1
2507,0
2474,1
2475,0
2670,1
2930,1
384176,1
411566,1
485527,1
3268,1
2317,0
2671,0
3995,1
2675,1
2584,0
389441,4
2966,1
3651,1
2682,0
2685,1
2688,1
3294,1
2686,1
2811,0
2689,1
2992,1
2693,0
6754,0
436271,1
2694,1
5418,1
16974,1
23384,1
2695,1
2699,0
2246,0
1788,1
3607,0
2704,0
2375,1
3466,1
3034,1
2714,1
2333,1
2178,1
7054,1
2244,0
2213,1
4149,1
2975,1
3148,1
3140,0
3002,1
2716,0
7179,1
3670,0
3561,0
2913,1
2723,0
3064,0
2725,1
11022,1
4103,1
2987,1
2297,0
2378,1
2731,1
3392,1
2518,1
2740,0
3187,1
2885,1
154831,0
3492,0
2775,1
2828,1
4041,1
2748,0
3543,1
2749,1
2753,0
2754,0
3127,0
231996,1
2756,1
3276,1
3429,1
3105,1
4014,1
3071,0
2761,0
2874,1
2822,0
2931,1
6353,1
2290,0
2374,0
389436,4
4762,1
3574,0
2909,1
3469,0
3363,1
3227,0
2855,0
2818,1
2816,1
2830,1
2815,1
3689,0
3476,0
3162,1
3438,1
6743,1
3048,1
3282,0
3165,1
3124,1
3448,0
3555,1
2771,1
2854,0
20156,0
3184,1
2779,0
2848,1
3028,0
3033,1
2785,0
3414,1
2741,1
3292,0
2796,1
2946,1
2899,1
2943,1
3311,0
2932,1
2827,1
486962,1
2895,1
389431,4
2712,0
3226,1
3456,0
4893,0
2925,0
4069,0
3139,1
2223,1
3145,0
16811,0
369231,2
3347,0
3430,1
2939,1
2907,1
3012,0
2634,0
2133,1
198956,1
470626,1
2809,0
2810,1
3481,1
3013,1
3113,0
3046,0
3106,1
4402,1
2432,0
3795,1
3717,1
2824,1
191641,1
2466,1
2793,1
2831,0
3000,0
2450,1
2459,1
2833,1
3087,0
4364,1
2838,0
4323,1
3277,1
4002,1
154876,1
375211,1
3266,1
3890,1
3141,0
3487,1
71105,1
2849,1
3790,1
3615,0
2894,0
2856,1
3505,1
3114,1
3153,0
2861,0
2865,1
4604,1
4352,1
2869,0
3133,1
2870,1
2872,1
3835,1
3659,0
3688,1
3076,1
4099,1
2963,0
3440,1
3169,1
2988,1
3203,0
3551,1
4171,1
4767,1
252341,1
2876,0
2878,0
3611,1
3257,0
2881,0
389426,4
4434,2
2883,1
3972,1
3441,1
3144,0
2893,1
3030,1
5187,1
3239,0
329936,1
3619,1
22652,1
2900,1
2901,1
3828,1
3711,0
3052,0
356351,1
2962,0
3941,1
2980,1
281106,1
5372,1
4003,1
146546,1
3004,0
3636,1
7181,0
293986,1
299916,1
3908,1
3768,1
4306,0
349886,3
3360,0
294591,4
3617,1
3286,0
4152,1
4654,1
2921,0
10574,0
3503,1
3296,0
368826,1
3299,1
2982,1
3009,1
2864,1
3587,0
3010,1
3018,1
3802,1
6174,1
3428,1
4078,1
4165,1
3697,1
4917,1
3221,1
4760,1
2938,0
3813,0
4240,1
2947,0
4243,1
3201,0
424611,1
2948,0
4136,0
3748,0
328581,0
4336,1
2915,0
5207,1
4861,0
3075,1
3904,1
3061,0
3703,0
3473,1
4673,1
2979,1
3118,1
3756,0
3210,1
5517,1
3781,1
4075,1
4034,1
3262,1
60229,1
5823,1
4733,1
2949,0
3694,0
2952,0
2953,0
4308,1
3045,1
23339,1
3632,1
348641,1
2999,1
3044,1
4932,1
3017,1
3680,1
3725,0
3634,1
397171,1
397176,1
397181,1
475526,6
2970,1
7296,1
3393,1
3289,0
3241,0
3737,1
3189,1
3050,0
3649,1
7189,1
3373,0
371791,1
389421,4
3467,1
3905,1
5579,1
4322,0
4728,0
2983,0
3500,1
5615,1
5131,1
3146,1
3961,0
3138,0
5568,1
5014,1
3452,1
4770,1
286346,1
3443,0
3810,1
3784,1
3645,0
3820,0
3723,0
417576,0
419381,0
496371,1
4090,0
2993,1
2995,1
3624,1
389416,4
141831,1
2997,1
3001,1
4898,1
4462,1
3007,0
3502,1
4481,0
3015,0
4730,1
3022,0
3130,0
3197,1
3887,0
4568,0
4628,0
2642,0
3968,1
5718,0
5216,1
331886,1
4004,0
5571,1
4444,1
3944,1
3592,1
3451,0
3041,0
3042,1
3504,0
3043,0
52345,0
128646,0
4616,1
484196,1
3824,1
299911,0
4358,1
300346,1
3868,0
3959,0
5599,1
3049,1
5438,1
3468,0
11354,1
3053,1
3068,1
3104,1
5807,1
3382,0
3058,1
3069,0
3442,0
5310,1
5211,0
3715,1
4145,1
3845,1
4468,1
4495,0
3134,1
4146,1
3065,0
3070,1
3072,1
7043,1
3948,0
3884,1
4693,0
3077,1
3300,1
3079,1
3039,1
3080,1
3119,0
4096,1
364886,1
3250,1
3236,1
3506,0
3084,1
2772,1
3123,0
3085,1
4881,1
3705,1
5824,1
4439,1
7583,1
7232,1
3606,0
3585,1
7031,1
4169,1
3327,1
4740,0
6491,1
4370,1
5317,1
4359,1
2411,0
3643,0
7032,1
5227,1
3718,0
3671,1
2794,1
319846,1
3359,0
3152,0
3155,0
4379,0
3115,1
4516,1
3160,0
3372,0
3344,0
4104,1
